"BehaviorSpace results (NetLogo 6.1.0)"
"ContactProcessForestAsTurtles.nlogo"
"CriticalValueBirds2.5-4forest1.5-1.85_world101"
"09/03/2019 22:35:37:152 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","world-width","world-height","birth-rate-birds","death-rate-birds","death-rate-forest","birth-rate-forest","[step]","habitat-proportion","birds-proportion"
"13","101","101","2.5","1","1","1.52","19","0.0027448289383393784","0"
"9","101","101","2.5","1","1","1.51","22","0.0026467993333986863","0"
"20","101","101","2.5","1","1","1.53","40","1.9605920988138416E-4","0"
"19","101","101","2.5","1","1","1.53","29","0.0013724144691696892","0"
"7","101","101","2.5","1","1","1.51","29","0.005685717086560141","0"
"12","101","101","2.5","1","1","1.52","28","0.004411332222331144","0"
"6","101","101","2.5","1","1","1.51","36","0.0013724144691696892","0"
"5","101","101","2.5","1","1","1.5","36","0.0037251249877462995","0"
"23","101","101","2.5","1","1","1.54","36","0.004117243407509068","0"
"2","101","101","2.5","1","1","1.5","39","0.0015684736790510733","0"
"22","101","101","2.5","1","1","1.54","46","0.0012743848642289971","0"
"17","101","101","2.5","1","1","1.53","53","0.001960592098813842","0"
"4","101","101","2.5","1","1","1.5","46","0.0017645328889324577","0"
"24","101","101","2.5","1","1","1.54","37","0.003333006567983531","0"
"14","101","101","2.5","1","1","1.52","39","8.822664444662288E-4","0"
"16","101","101","2.5","1","1","1.53","50","0.0013724144691696892","0"
"10","101","101","2.5","1","1","1.51","45","0.0035290657778649153","0"
"15","101","101","2.5","1","1","1.52","52","0.0031369473581021466","0"
"8","101","101","2.5","1","1","1.51","57","0.004313302617390452","0"
"21","101","101","2.5","1","1","1.54","55","0.002058621703754534","0"
"1","101","101","2.5","1","1","1.5","45","0.0037251249877462995","0"
"11","101","101","2.5","1","1","1.52","71","0.0014704440741103812","0"
"18","101","101","2.5","1","1","1.53","61","0.0017645328889324577","0"
"3","101","101","2.5","1","1","1.5","66","0.0028428585432800704","0"
"25","101","101","2.5","1","1","1.54","31","0.001176355259288305","0"
"26","101","101","2.5","1","1","1.55","33","9.80296049406921E-4","0"
"27","101","101","2.5","1","1","1.55","24","0.006666013135967062","0"
"34","101","101","2.5","1","1","1.56","29","0","9.802960494069208E-5"
"33","101","101","2.5","1","1","1.56","30","0.005195569061856681","0"
"43","101","101","2.5","1","1","1.58","40","3.9211841976276833E-4","0"
"42","101","101","2.5","1","1","1.58","31","7.842368395255367E-4","0"
"29","101","101","2.5","1","1","1.55","41","0.004901480247034604","0"
"31","101","101","2.5","1","1","1.56","42","0.0031369473581021466","0"
"37","101","101","2.5","1","1","1.57","29","0.0034310361729242233","0"
"47","101","101","2.5","1","1","1.59","29","0.002254680913635918","0"
"38","101","101","2.5","1","1","1.57","30","0.005293598666797373","0"
"28","101","101","2.5","1","1","1.55","58","0.005489657876678757","0"
